timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673546155117,6808,Homepage,200,OK,Thread Group 1-93,text,true,,119994,242,94,94,https://www.w3schools.com:443/,455,0,85
1673546155117,455,Homepage-0,301,Moved Permanently,Thread Group 1-93,text,true,,313,119,94,94,http://www.w3schools.com/,455,0,85
1673546155573,6352,Homepage-1,200,OK,Thread Group 1-93,text,true,,119681,123,94,94,https://www.w3schools.com:443/,542,0,176
1673546159895,2041,Homepage,200,OK,Thread Group 1-188,text,true,,119994,242,93,93,https://www.w3schools.com:443/,463,0,82
1673546159895,463,Homepage-0,301,Moved Permanently,Thread Group 1-188,text,true,,313,119,93,93,http://www.w3schools.com/,463,0,82
1673546160361,1575,Homepage-1,200,OK,Thread Group 1-188,text,true,,119681,123,93,93,https://www.w3schools.com:443/,468,0,205
1673546154822,7211,Homepage,200,OK,Thread Group 1-87,text,true,,119994,242,92,92,https://www.w3schools.com:443/,470,0,89
1673546154822,470,Homepage-0,301,Moved Permanently,Thread Group 1-87,text,true,,313,119,92,92,http://www.w3schools.com/,470,0,89
1673546155292,6741,Homepage-1,200,OK,Thread Group 1-87,text,true,,119681,123,92,92,https://www.w3schools.com:443/,1588,0,833
1673546160294,1766,Homepage,200,OK,Thread Group 1-195,text,true,,119994,242,91,91,https://www.w3schools.com:443/,559,0,97
1673546160294,559,Homepage-0,301,Moved Permanently,Thread Group 1-195,text,true,,313,119,91,91,http://www.w3schools.com/,559,0,97
1673546160853,1207,Homepage-1,200,OK,Thread Group 1-195,text,true,,119681,123,91,91,https://www.w3schools.com:443/,577,0,182
1673546154774,7292,Homepage,200,OK,Thread Group 1-86,text,true,,119994,242,90,90,https://www.w3schools.com:443/,469,0,84
1673546154774,469,Homepage-0,301,Moved Permanently,Thread Group 1-86,text,true,,313,119,90,90,http://www.w3schools.com/,469,0,84
1673546155243,6823,Homepage-1,200,OK,Thread Group 1-86,text,true,,119681,123,90,90,https://www.w3schools.com:443/,1956,0,1471
1673546154127,7975,Homepage,200,OK,Thread Group 1-73,text,true,,119994,242,89,89,https://www.w3schools.com:443/,1465,0,1088
1673546154127,1465,Homepage-0,301,Moved Permanently,Thread Group 1-73,text,true,,313,119,89,89,http://www.w3schools.com/,1465,0,1088
1673546155593,6509,Homepage-1,200,OK,Thread Group 1-73,text,true,,119681,123,89,89,https://www.w3schools.com:443/,1664,0,532
1673546154574,7717,Homepage,200,OK,Thread Group 1-82,text,true,,119994,242,88,88,https://www.w3schools.com:443/,474,0,86
1673546154574,474,Homepage-0,301,Moved Permanently,Thread Group 1-82,text,true,,313,119,88,88,http://www.w3schools.com/,474,0,86
1673546155049,7242,Homepage-1,200,OK,Thread Group 1-82,text,true,,119681,123,88,88,https://www.w3schools.com:443/,656,0,291
1673546154921,7371,Homepage,200,OK,Thread Group 1-89,text,true,,119994,242,88,88,https://www.w3schools.com:443/,465,0,83
1673546154921,465,Homepage-0,301,Moved Permanently,Thread Group 1-89,text,true,,313,119,88,88,http://www.w3schools.com/,465,0,83
1673546155387,6905,Homepage-1,200,OK,Thread Group 1-89,text,true,,119681,123,88,88,https://www.w3schools.com:443/,1807,0,173
1673546158504,3913,Homepage,200,OK,Thread Group 1-160,text,true,,119994,242,86,86,https://www.w3schools.com:443/,1198,0,92
1673546158504,1198,Homepage-0,301,Moved Permanently,Thread Group 1-160,text,true,,313,119,86,86,http://www.w3schools.com/,1198,0,92
1673546159705,2712,Homepage-1,200,OK,Thread Group 1-160,text,true,,119681,123,86,86,https://www.w3schools.com:443/,958,0,178
1673546160234,2476,Homepage,200,OK,Thread Group 1-193,text,true,,119994,242,85,85,https://www.w3schools.com:443/,1478,0,1092
1673546160234,1478,Homepage-0,301,Moved Permanently,Thread Group 1-193,text,true,,313,119,85,85,http://www.w3schools.com/,1478,0,1092
1673546161712,998,Homepage-1,200,OK,Thread Group 1-193,text,true,,119681,123,85,85,https://www.w3schools.com:443/,506,0,178
1673546158797,3918,Homepage,200,OK,Thread Group 1-166,text,true,,119994,242,84,84,https://www.w3schools.com:443/,465,0,78
1673546158797,465,Homepage-0,301,Moved Permanently,Thread Group 1-166,text,true,,313,119,84,84,http://www.w3schools.com/,465,0,78
1673546159263,3452,Homepage-1,200,OK,Thread Group 1-166,text,true,,119681,123,84,84,https://www.w3schools.com:443/,2052,0,1513
1673546158372,4402,Homepage,200,OK,Thread Group 1-157,text,true,,119994,242,83,83,https://www.w3schools.com:443/,781,0,87
